sss2019-07-10 09:46:37,922 [22] INFO  SessionModule SESSION -> NOT Using
2019-07-10 10:16:35,445 [32] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:35,447 [32] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:35,452 [32] INFO  WSFedModule FED -> Using
2019-07-10 10:16:35,507 [63] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:35,509 [63] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:35,510 [63] INFO  WSFedModule FED -> Using
2019-07-10 10:16:43,130 [50] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:43,131 [50] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:43,133 [50] INFO  WSFedModule FED -> Using
2019-07-10 10:16:58,682 [50] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:58,684 [50] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:58,685 [50] INFO  WSFedModule FED -> Using
2019-07-10 10:16:58,896 [53] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:58,897 [53] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:58,899 [53] INFO  WSFedModule FED -> Using
2019-07-10 10:16:58,960 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:58,962 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:58,964 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:16:59,015 [59] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:59,016 [59] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:59,017 [59] INFO  WSFedModule FED -> Using
2019-07-10 10:16:59,069 [63] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:59,071 [63] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:59,072 [63] INFO  WSFedModule FED -> Using
2019-07-10 10:16:59,127 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:59,129 [60] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:59,131 [60] INFO  WSFedModule FED -> Using
2019-07-10 10:16:59,193 [32] INFO  SessionModule SESSION -> Using
2019-07-10 10:16:59,197 [32] INFO  WSFedModule FED2 -> Using
2019-07-10 10:16:59,198 [32] INFO  WSFedModule FED -> Using
2019-07-10 10:17:10,161 [53] INFO  SessionModule SESSION -> Using
2019-07-10 10:17:10,163 [53] INFO  WSFedModule FED2 -> Using
2019-07-10 10:17:10,165 [53] INFO  WSFedModule FED -> Using
2019-07-10 10:17:54,824 [6] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 10:17:55,002 [6] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 10:17:55,067 [62] INFO  SessionModule SESSION -> Using
2019-07-10 10:17:55,073 [62] INFO  WSFedModule FED2 -> Using
2019-07-10 10:17:57,959 [62] INFO  WSFedModule FED -> Using
2019-07-10 10:17:58,003 [60] INFO  SessionModule SESSION -> Using
2019-07-10 10:17:58,006 [60] INFO  WSFedModule FED2 -> Using
